date,open,high,low,close,adj close,volume
2005-07-15,91.080002,91.099998,89.839996,90.089996,90.089996,8580000
2005-07-18,90.029999,90.709999,89.769997,89.839996,89.839996,7820000
2005-07-19,89.839996,90.400002,89.029999,90.290001,90.290001,7620000
2005-07-20,90.290001,91.449997,90.290001,90.949997,90.949997,8590000
2005-07-21,91.709999,93.339996,91.709999,93.029999,93.029999,8640000
2005-07-22,93.260002,93.370003,92.720001,93.180000,93.180000,7580000
2005-07-25,93.239998,93.279999,91.970001,92.099998,92.099998,4780000
2005-07-26,92.099998,92.099998,90.349998,90.760002,90.760002,6320000
2005-07-27,90.989998,91.470001,90.519997,91.129997,91.129997,10540000
2005-07-28,91.129997,91.449997,90.269997,90.970001,90.970001,8030000
2005-07-29,91.230003,91.970001,90.720001,90.760002,90.760002,5230000
2005-08-01,91.129997,91.790001,90.760002,90.980003,90.980003,5550000
2005-08-02,91.070000,92.900002,91.059998,92.220001,92.220001,7640000
2005-08-03,92.360001,96.500000,92.360001,95.930000,95.930000,5180000
2005-08-04,96.309998,97.330002,95.489998,95.769997,95.769997,5370000
2005-08-05,95.730003,95.820000,94.080002,94.870003,94.870003,4230000
2005-08-08,94.830002,95.800003,93.790001,94.040001,94.040001,3300000
2005-08-09,93.870003,94.550003,93.029999,94.190002,94.190002,5020000
2005-08-10,94.190002,95.980003,94.190002,95.529999,95.529999,5630000
2005-08-11,95.529999,99.779999,95.529999,99.459999,99.459999,5710000
2005-08-12,99.500000,100.519997,98.610001,99.959999,99.959999,5070000
2005-08-15,99.959999,99.989998,98.489998,99.040001,99.040001,4250000
2005-08-16,99.040001,100.389999,98.680000,98.790001,98.790001,5030000
2005-08-17,98.290001,98.290001,96.040001,96.050003,96.050003,6020000
2005-08-18,96.190002,96.709999,95.209999,95.839996,95.839996,4810000
2005-08-19,95.839996,96.449997,95.550003,96.220001,96.220001,4410000
2005-08-22,96.449997,97.820000,95.750000,96.209999,96.209999,3920000
2005-08-23,96.440002,97.169998,95.610001,95.629997,95.629997,3220000
2005-08-24,95.900002,96.239998,93.459999,93.610001,93.610001,5080000
2005-08-25,93.610001,95.040001,93.610001,94.260002,94.260002,4040000
2005-08-26,94.320000,94.900002,93.669998,93.870003,93.870003,4020000
2005-08-29,93.870003,95.580002,93.870003,94.550003,94.550003,3430000
2005-08-30,94.169998,94.169998,92.680000,93.430000,93.430000,4780000
2005-08-31,93.540001,95.769997,93.419998,95.769997,95.769997,4760000
2005-09-01,96.400002,99.320000,96.400002,99.150002,99.150002,7240000
2005-09-02,99.209999,99.940002,98.610001,99.010002,99.010002,3300000
2005-09-06,99.269997,99.410004,97.980003,98.500000,98.500000,3740000
2005-09-07,98.410004,99.089996,98.040001,98.360001,98.360001,4640000
2005-09-08,98.669998,100.519997,98.669998,100.040001,100.040001,5860000
2005-09-09,100.570000,102.889999,100.550003,102.599998,102.599998,6000000
2005-09-12,102.580002,102.680000,101.500000,102.680000,102.680000,3970000
2005-09-13,102.540001,102.629997,100.570000,100.680000,100.680000,7870000
2005-09-14,101.589996,104.739998,101.589996,104.699997,104.699997,6650000
2005-09-15,104.699997,106.720001,104.699997,106.459999,106.459999,8990000
2005-09-16,106.800003,110.540001,106.800003,110.540001,110.540001,5960000
2005-09-19,111.570000,113.260002,109.879997,110.269997,110.269997,6100000
2005-09-20,110.559998,111.430000,107.660004,107.849998,107.849998,4080000
2005-09-21,108.000000,111.529999,108.000000,111.489998,111.489998,4530000
2005-09-22,111.620003,111.739998,108.680000,110.449997,110.449997,4520000
2005-09-23,110.360001,110.360001,107.589996,109.410004,109.410004,4110000
2005-09-26,109.379997,113.139999,107.139999,111.680000,111.680000,3460000
2005-09-27,111.239998,111.250000,108.489998,109.870003,109.870003,4220000
2005-09-28,110.089996,112.440002,109.230003,112.250000,112.250000,2670000
2005-09-29,112.440002,114.610001,112.419998,114.470001,114.470001,3550000
2005-09-30,114.470001,115.180000,112.790001,112.919998,112.919998,4690000
2005-10-03,112.519997,112.580002,110.519997,112.349998,112.349998,3460000
2005-10-04,112.320000,112.940002,110.169998,110.209999,110.209999,3110000
2005-10-05,109.720001,109.870003,106.980003,106.980003,106.980003,3560000
2005-10-06,107.650002,111.230003,107.629997,109.959999,109.959999,3290000
2005-10-07,109.989998,112.980003,109.580002,112.860001,112.860001,3490000
2005-10-10,113.000000,114.250000,111.959999,112.800003,112.800003,3350000
2005-10-11,112.889999,114.010002,112.160004,112.449997,112.449997,3980000
2005-10-12,112.489998,113.650002,109.129997,109.419998,109.419998,3990000
2005-10-13,109.290001,109.300003,105.290001,107.910004,107.910004,3310000
2005-10-14,107.120003,107.510002,104.919998,106.949997,106.949997,2650000
2005-10-17,108.320000,109.930000,108.309998,109.540001,109.540001,2950000
2005-10-18,109.610001,109.820000,106.849998,106.940002,106.940002,3080000
2005-10-19,105.889999,105.889999,103.449997,105.000000,105.000000,4700000
2005-10-20,104.900002,106.169998,101.059998,101.989998,101.989998,2650000
2005-10-21,102.160004,105.529999,102.120003,104.930000,104.930000,5450000
2005-10-24,104.930000,107.440002,104.760002,106.900002,106.900002,3410000
2005-10-25,107.589996,110.639999,107.580002,108.559998,108.559998,5600000
2005-10-26,109.230003,110.849998,105.720001,105.769997,105.769997,4560000
2005-10-27,107.500000,108.199997,105.169998,105.550003,105.550003,5200000
2005-10-28,105.309998,106.849998,104.239998,106.800003,106.800003,5910000
2005-10-31,108.089996,108.809998,105.349998,107.839996,107.839996,2610000
2005-11-01,105.779999,106.849998,105.199997,105.900002,105.900002,4180000
2005-11-02,106.680000,108.150002,106.099998,108.099998,108.099998,5830000
2005-11-03,107.510002,108.769997,106.000000,106.400002,106.400002,4610000
2005-11-04,106.339996,107.000000,104.800003,105.830002,105.830002,3760000
2005-11-07,105.750000,106.940002,105.489998,106.239998,106.239998,2940000
2005-11-08,106.110001,106.870003,105.720001,106.010002,106.010002,3470000
2005-11-09,106.010002,109.300003,106.010002,109.290001,109.290001,5180000
2005-11-10,110.169998,110.239998,107.620003,108.150002,108.150002,5040000
2005-11-11,108.489998,111.300003,107.739998,111.290001,111.290001,5460000
2005-11-14,110.440002,111.330002,109.680000,109.949997,109.949997,3760000
2005-11-15,110.360001,110.599998,107.849998,107.860001,107.860001,4910000
2005-11-16,107.860001,114.290001,107.860001,114.290001,114.290001,4920000
2005-11-17,115.650002,116.599998,115.010002,115.900002,115.900002,4210000
2005-11-18,115.779999,115.779999,113.809998,115.099998,115.099998,2740000
2005-11-21,116.580002,118.029999,115.540001,118.029999,118.029999,3710000
2005-11-22,118.309998,119.269997,116.629997,119.059998,119.059998,6160000
2005-11-23,116.989998,117.570000,116.250000,116.260002,116.260002,3580000
2005-11-25,118.580002,118.910004,118.320000,118.660004,118.660004,2190000
2005-11-28,118.769997,119.480003,117.879997,118.279999,118.279999,2560000
2005-11-29,117.580002,118.089996,116.650002,117.459999,117.459999,3380000
2005-11-30,115.889999,116.589996,114.500000,114.610001,114.610001,2990000
2005-12-01,116.430000,118.459999,116.320000,118.139999,118.139999,5750000
2005-12-02,117.930000,118.309998,115.900002,116.230003,116.230003,2450000
2005-12-05,116.230003,117.190002,115.309998,116.430000,116.430000,4070000
2005-12-06,116.629997,120.160004,115.559998,119.690002,119.690002,3350000
2005-12-07,121.639999,123.209999,120.970001,121.980003,121.980003,6620000
2005-12-08,122.209999,124.610001,122.199997,124.180000,124.180000,3900000
2005-12-09,125.529999,126.040001,122.669998,122.940002,122.940002,3730000
2005-12-12,122.940002,126.989998,122.389999,122.980003,122.980003,3450000
2005-12-13,121.250000,123.550003,121.230003,122.949997,122.949997,3930000
2005-12-14,122.949997,122.949997,119.650002,119.900002,119.900002,2940000
2005-12-15,120.949997,121.790001,120.349998,120.839996,120.839996,4110000
2005-12-16,120.839996,122.559998,120.839996,122.360001,122.360001,3970000
2005-12-19,122.360001,124.589996,121.199997,121.199997,121.199997,4650000
2005-12-20,121.970001,122.199997,118.620003,119.519997,119.519997,2580000
2005-12-21,118.930000,122.489998,118.930000,122.489998,122.489998,2410000
2005-12-22,123.580002,125.169998,122.910004,125.120003,125.120003,2730000
2005-12-23,125.190002,126.129997,124.940002,125.019997,125.019997,1140000
2005-12-27,126.480003,126.680000,124.290001,124.360001,124.360001,1470000
